gene,log2FC,padj
ACTR3P2 /// ACTR3P2,0.13094531746031812,0.1418489886195611
ACTR5,0.7025981746031746,0.04465439692902211
ACTR6,0.25156892857142843,0.0010879046928718695
ACTR8,0.5260598809523804,0.011631175913912977
ACTRT3,-0.39621317460317496,0.21748684166322158
ACVR1,-0.8724814285714295,0.0005704714204890681
ACVR1B,0.6245351746031762,0.00044065911210502625
ACVR1C,-0.4862249206349194,0.3892602242778862
ACVR2A,-0.2970182936507939,0.0972414824922464
ACVR2B,0.3138941534391533,0.0019367277834512165
ACVRL1,0.6034911904761904,0.062073326550094995
ACYP1,-0.2923311904761903,0.04270264704107204
ACYP2 /// LOC101927144,0.5298524603174624,0.00715206210224013
ADAD1,0.11327964285714254,0.27187201823910834
ADAL,0.12171015873015811,0.46429847057949636
ADAM10,0.414121904761906,0.1124763377869436
ADAM11,-0.01545936507936485,0.8752274460587188
ADAM12,-0.1736177380952375,0.07323884680012085
ADAM15,0.3934282539682541,0.07053161508885562
ADAM17,-0.28837029100529143,0.010258780499774878
ADAM19,-0.08004313492063408,0.6676933929343967
ADAM1A /// ADAM1A,1.3312043650793663,0.00010519862132980059
ADAM21,0.5302627777777777,0.011503314230022557
ADAM22,0.9781935846560854,7.179495461142154e-06
ADAM23,1.2253001388888887,0.00015376646864882185
ADAM28,-1.7374784523809512,3.9549623974085854e-08
ADAM32,0.15565849206349247,0.12085910328454684
ADAM5,0.09690777777777804,0.09331147139872387
ADAM8,-0.07999738095238129,0.5562848768467843
ADAM9,0.3886671957671961,0.0654017999273957
ADAMDEC1,0.16926142857142779,0.5030334175377938
ADAMTS1,-2.6313923412698403,7.851859831899316e-06
ADAMTS10,0.3690868253968258,0.2223403517241656
ADAMTS12,0.48083531746031705,0.21884002671870578
ADAMTS13,-0.3668537301587316,0.03242818241115276
ADAMTS14,0.024508015873015543,0.7027627502293223
ADAMTS15,-0.555217539682539,0.03005184518329352
ADAMTS17,-0.38661099206349236,0.0008295672642704553
ADAMTS18,-0.8156497301587309,0.002181457993165543
ADAMTS19,0.25158107142857133,0.06253291728242512
ADAMTS2,-1.3201421825396826,4.197703245162001e-05
ADAMTS20,0.14739753968253977,0.07619419919079692
ADAMTS3,0.05258492063492026,0.7281439879961078
ADAMTS5,-0.3135274338624341,0.5143383873358253
ADAMTS6,0.20403182539682563,0.1734548290650688
ADAMTS7,0.01259293650793647,0.6755902119627945
ADAMTS8,0.24334599206349283,0.45201671538250837
ADAMTS9,0.07127576719576645,0.8728768546421797
ADAMTS9-AS2,0.3102743492063489,0.2038987597482909
ADAMTSL1,2.271392003968256,3.7170072875241957e-06
ADAMTSL2,0.16096888888888894,0.5998456745707077
ADAMTSL3,-0.41059492063492087,0.38355945794041435
ADAMTSL4,-0.47700357142857097,0.024479476727498322
ADAP1,0.11433769841269825,0.25799161996529363
ADAP2,0.3119746031746029,0.25799161996529363
ADAR,0.0576444444444455,0.7151028130540468
ADARB1,0.09097884920634902,0.5403468451452839
ADAT1,-0.013943253968254687,0.9603013758159656
ADAT2,-0.16195484126984194,0.13944477311405923
ADAT3,-0.1939662698412703,1.2043777515195586e-05
ADAT3 /// SCAMP4,-1.0474476190476185,8.355256006391694e-05
ADCK1,0.1791690476190464,0.5490648885376805
ADCK2,0.1180220634920639,0.3034817065264515
ADCK3,-0.12609829365079328,0.1998141351526745
ADCK4,0.03697698412698536,0.7550859817990755
ADCK5,-0.003952698412698519,0.9372793036942534
ADCY1,1.7730774999999985,1.1869322790987374e-05
ADCY10P1,-0.5693237301587297,0.023802157085055745
ADCY2,0.09617473544973532,0.6080596479311035
ADCY3,-0.5058786904761909,0.11384498358083164
ADCY5,2.247489206349208,1.5451423705316986e-08
ADCY6,0.10560460317460318,0.3943614711024316
ADCY7,-0.5514143650793644,0.036671301766367924
ADCY8,0.32021420634920617,0.32579881531950955
ADCY9,-1.5301559523809525,1.346099035054716e-07
ADCYAP1,-1.9415371428571429,0.0008315613749143695
ADCYAP1R1,0.4918160317460325,0.2647567841092356
ADD1,0.09696347222222279,0.2970065197210805
ADD2,0.7237756547619045,0.01289777437766786
ADD3,0.3705662103174596,0.029213886564642813
ADD3-AS1,0.3877425793650806,0.11406345827592379
ADGB,0.12046325396825397,0.07716111493772622
ADH1A,-0.3409581746031747,0.00763989656308599
ADH1B,-3.263126296296296,3.7074470280536054e-09
ADH4,0.06779222222222359,0.5985162062156144
ADH5,0.6178331746031738,3.360590113410179e-05
ADHFE1,0.1501940476190482,0.7538285992027137
ADI1,0.05914298941798979,0.8099313118810477
ADIPOQ,0.10069166666666662,0.25344172996193826
ADIPOR1,0.4998855555555526,1.9930646898681097e-05
ADIPOR2,0.3173155555555578,0.15550750960860882
ADIRF,-2.427695793650792,8.798404303047852e-05
ADIRF-AS1,-0.023857698412698802,0.6330350892578417
